id,created_at,merchant,date,category,payment_source,amount,user_name,items,receipt_url,transfer_to
d314712c-6400-456b-85c5-f57fd2aef569,2026-07-07 05:05:51.107426+00,Isi gopay,2026-07-07,Transfer,Mandiri Suami,100000.00,Suami,[],,Gopay Suami
d574d583-70ed-4af3-a9c9-1fe6f96f46f5,2026-07-14 03:24:03.902395+00,Sarapan,2026-07-14,Makanan,Cash Istri,12000.00,Istri,[],,
d5cbf0bf-f729-4d42-9821-5ea7ae1d9914,2026-07-12 06:37:32.789801+00,Pecel pasar,2026-07-12,Makanan,Cash Suami,18000.00,Suami,[],,
d62dd64f-c678-4efc-b804-c52894a069ab,2026-07-14 09:18:39.829274+00,"Pak ogah ",2026-07-14,Sosial & Ibadah,Cash Suami,5000.00,Suami,[],,
daa8c8fd-3820-4ece-83ca-a485f1b56518,2026-07-15 04:46:07.707537+00,Grab ke kantor,2026-07-15,Transportasi,OVO Suami,10500.00,Suami,[],,
dce19fb7-bf17-4d18-a865-00af0f68c54e,2026-07-06 09:33:59.467425+00,Saldo awal ovo,2026-07-06,Saldo Awal,OVO Suami,23000.00,Suami,[],,
dd5d43cb-06d7-4fed-b47e-2a04e5e8bd6b,2026-07-15 05:38:19.255061+00,Top up gopay,2026-07-15,Transfer,Mandiri Suami,100000.00,Suami,[],,Gopay Suami
ddb09492-5e3a-4e79-9aa7-4ca7b41571b0,2026-07-08 07:38:40.385253+00,"Uda wandi ",2026-07-08,Makanan,Mandiri Suami,32500.00,Suami,[],,
e0e1e48c-225c-4a9f-a0dc-820b049091af,2026-07-10 02:18:02.002188+00,Beli jajan,2026-07-10,Makanan,Cash Istri,22500.00,Istri,[],,
e30aba52-0157-440c-bdfa-6d093f2f37ce,2026-07-10 02:17:33.12913+00,Grab kerja,2026-07-10,Transportasi,OVO Istri,12500.00,Istri,[],,
e4ebe6bf-184c-494e-b190-abbd5eb5877f,2026-07-14 12:43:01.283783+00,Bensin mobil,2026-07-14,Transportasi,Cash Istri,200000.00,Suami,[],,
e5d05f6d-0303-4d73-ab4a-4501feb24b48,2026-07-14 09:18:16.90443+00,Melita suguhan pkk,2026-07-14,Sosial & Ibadah,Gopay Suami,48600.00,Suami,[],,
e64c0fe4-d1f4-4a82-88ad-a9229586ab43,2026-07-16 05:24:07.273843+00,Earmuff bayi,2026-07-16,Kebutuhan Bayi,BNI Istri,40000.00,Istri,[],,
e7154227-f1f4-4e49-846b-ac921310a32a,2026-07-07 15:14:40.204811+00,Lap ilerrr,2026-07-07,Kebutuhan Bayi,BNI Istri,48500.00,Istri,[],,
ea18b073-5992-45db-88b3-1922dc7b3683,2026-07-11 01:26:38.032637+00,Pulsa,2026-07-11,Hiburan,OVO Istri,12000.00,Istri,[],,
eb8b797b-b12c-4356-873f-7133b19161df,2026-07-07 22:34:22.507656+00,Susu+Popok Alfa,2026-07-08,Kebutuhan Bayi,BNI Istri,130000.00,Istri,[],,
ec3bac17-fc2d-4101-8c7d-4871ce5c646c,2026-07-16 13:39:30.513247+00,Gopay ke stasiun,2026-07-16,Transportasi,Gopay Suami,7000.00,Suami,[],,
ec5f0d9b-d887-4924-8636-24253c6f97b9,2026-07-18 03:46:54.085282+00,Mbak Ani bersih2,2026-07-18,Kebutuhan Bulanan,Cash Istri,60000.00,Istri,[],,
ef680c50-4c9d-4591-9f7a-dea12c098a78,2026-07-10 02:17:12.449501+00,Pindah Dana ke OVO Istri,2026-07-10,Transfer,BNI Istri,150000.00,Istri,[],,OVO Istri
f0660554-65d3-46e9-9644-f4dd3a31a932,2026-07-16 01:25:52.438657+00,Grab ke Regency,2026-07-15,Transportasi,OVO Istri,10000.00,Istri,[],,
f086be69-3b93-4b41-aa09-0f68f673dcd2,2026-07-14 12:41:25.337801+00,Gado gado,2026-07-14,Sosial & Ibadah,BNI Istri,280000.00,Istri,[],,
f19107a5-9142-40fc-8c43-0a6e6d9215da,2026-07-05 08:33:42.434618+00,Saldo awal cash istri,2026-07-05,Saldo Awal,Cash Istri,1435000.00,Istri,[],,
f1c57f4d-52bf-4f8b-8cf0-1065a363dd14,2026-07-18 13:35:03.267524+00,Grab pulang,2026-07-18,Transportasi,OVO Istri,8000.00,Istri,[],,
f2007bc9-fffb-4da9-8cce-62cc8dd5af35,2026-07-09 02:27:59.723954+00,Bersih bersih bu Novan,2026-07-08,Kebutuhan Bulanan,Cash Istri,70000.00,Istri,[],,
f2d01aac-0657-4f4b-aafc-9f58a028d8f9,2026-07-07 15:23:22.067969+00,Pumping Iyel,2026-07-07,Kebutuhan Bayi,BNI Istri,312000.00,Istri,[],,
f3b44b35-4185-47ec-a23a-46f44340e7bc,2026-07-10 02:16:40.909258+00,Grab dari indomaret,2026-07-09,Transportasi,OVO Istri,20000.00,Istri,[],,
f613a4c9-89ea-4463-8bf2-0e8d763fd8ee,2026-07-07 15:15:49.446015+00,Kertas airfryer,2026-07-07,Kebutuhan Bulanan,BNI Istri,28000.00,Istri,[],,
f8bdb206-b641-4592-9edc-002441031055,2026-07-07 05:06:36.925957+00,Gado gado,2026-07-07,Makanan,Gopay Suami,59600.00,Suami,[],,
f8fe7e68-529b-412a-8c7b-9591bcaaff8d,2026-07-06 15:33:11.573844+00,PP PMI,2026-07-06,Transportasi,OVO Istri,36000.00,Istri,[],,
fd348371-ee7a-4103-b18a-4de32ff3c756,2026-07-10 06:44:37.224903+00,Infaq jumatan,2026-07-10,Sosial & Ibadah,Cash Suami,20000.00,Suami,[],,
fe1792cb-a68b-436d-be2a-c4c1e5670cf0,2026-07-19 07:19:54.554794+00,Indomaret,2026-07-19,Lain-lain,Cash Suami,500.00,Suami,"[{""name"": ""IDM KTG PLSTK 1W BSR"", ""price"": 500, ""category"": ""Lain-lain"", ""quantity"": 1}]",,
ff4226d4-cf2b-42d8-834a-ce512b94d4d3,2026-07-18 03:50:50.172532+00,Susu pampers galon,2026-07-17,Kebutuhan Bayi,BNI Istri,184000.00,Suami,[],,
ffe24968-662a-45ff-92ae-71d4fe45c1de,2026-07-20 01:38:46.212681+00,Obat antibiotik dan bye bye fever,2026-07-19,Kesehatan,Cash Suami,53000.00,Suami,[],,
